20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128181806AAcpxh7	Arts & Humanities;Poetry	What do you think of my poem/short story?	I lay here alone and pained for you. The one who kept me here. I don't stay for anyone else, not me, not my love, only you. The day you say you don't want me, I'll be gone into pure bliss, never to be seen again.      what do you think about it.   if you read my others you know i   dont like cheesy.   please tell me.   cheesy    or   not.   :))
20090128182928AAl1ab5	Arts & Humanities;Performing Arts	Do you think a music agent would take this?	This is a very talented guy that I don't know why has not made it famous yet. Do you think a music agent would be interested in these songs?      This one is a remake of the band America "Daisy Jane"     http://www.youtube.com/watch?v=0qGpmcG9Y...          This one he wrote his self and is is great!!    http://www.youtube.com/watch?v=mzbAOBese...       Any good agent sites around?  You have to agree this guys left handed guitar playing is awesome.
20090128182727AAt5mF8	Arts & Humanities;Dancing	Will my broken leg affect my ballet in the long term?	I am 14 and I have recently fractured my tibia and it kind of slopes. I am going to be in a cast for 6 weeks but will this affect my dancing in the long term for things like pointe work?
20090128181822AAxSgNZ	Arts & Humanities;Visual Arts;Other - Visual Arts	Hey im blind what is blue?	I asked my friend to type this for me can you describe blue for me?
20090128183032AATRd3k	Arts & Humanities;Poetry	Hello, Can you Hear Me?	Hello,   Can you hear me?   Underneath your lies?      Because,   I can no longer read,   Your tiny hateful eyes.      And I think you could really see,   If you stopped being hard,   How beautiful the world could be,   Just let down your guard.      Cos I used to see,   How beautiful you could have been,   But now it's fading,   It's just a dark memory.      For so long,   I thought maybe,   You would change for me.      But no more,   Cos it's impossible   I'll have to give up that dream.      Cos I think that you should really see,   How beautiful a change can be,   An Ugly Duckling to a Swan,   But I guess that's not your style.      Hello,   Can you see me?   Behind your spiteful eyes?
20090128182741AAkh61j	Arts & Humanities;Poetry	What do you think of my poem....? what does it remind you of? its called "wake me up"?	why cant i forget about you?   why wont my head just let you go?   you treated me so wrongly,   but why do i still think about you,   i cant let go,   your still a part of my life,       Then when will i wake up,   cant this nightmere be over yet?   isnt all of this just a dream?   when will this be overrrrr?   please just wake me up,       i dont deserve this torchure........   why did you treat me so wrongly?   I trusted youuuuuu,   i believed in youuuuuu,   secend changes never matter,   because you will NEVER change!       Then when will i wake up,   cant this nightmere be over yet?   isnt all of this just a dream?   when will this be overrrrr?   please just wake me up,       i just cant give up,   you broke my heart,   broken hearts never fully heal,   but i will survive tonight!!!!!!   tonight.......       Why cant i wake up?   isnt this over yet?   pleaseeeeee just       Wake me uppppppppppppp      -Taylor
20090128182129AA11gN5	Arts & Humanities;Other - Arts & Humanities	How do you whistle using only your mouth?	Seriously, how do I do it? I have no clue! :D   Any form excepted!
20090128182408AA3S9qj	Arts & Humanities;History	Is there one person who's responsible for slavery *IN THE USA*?	There had to of been one guy out of the group who suggested the africans should be slaves...who was it?  and I'm not talking about ancient slavery...I'm talking about African slavery in the US.
20090128182234AAyTMnU	Arts & Humanities;History	What were the 2 things women suffragists did in the 1920's?	N/A
20090128182918AAdNZSO	Arts & Humanities;Dancing	I just got asked to sadies and....LADIES AND GENTS. ANY ADVICE NEEDED?	Okay so i just got asked to sadies by this really cute girl and i said yes.. we've known eachother for a long time and she was my date before... but when im at dances.. i get nervous.. and i think overthink to much .. and talk to much... But its just me..       Like i keep going "am i doing this right.."  "What should i do" "i hope she doesnt think im weird" And stuff         How do i just forget everyone and just have a good time without any pills or alcohol. just dance without thinking or talking much      Question for girls: What do  you think when you're dancing.. do you care if your guys a freak.. do you hate convos while you dance.. do you like it when guys touch you on the dancefloor.. where at?      Question for guys: How do i not overthink things.. how do you make the girl feel confrotable.. make it not awkward.. plus any other advice k thanks!
20090128182535AAu9pWS	Arts & Humanities;Poetry	Please comment on my poem... :)?	Mother’s Day My Way      Wanted by many    Desired by all   So beautifully he suffers   Gaining knowledge through it all       Though hundreds would line to meet him   To try and make it all okay    The only one who doesn’t see him   Is the one who matters most today      He tries so hard to impress   To be a better son than all the rest    To get the love that never was   But  you refuse to see all that he does       How can you deny your own creation   He doesn’t deserve your damnation   He has his mind stuck in one place    So eagerly awaiting your embrace      Is there too much of yourself in him?   Do you hate yourself so you cant love him?   If so you should know that he’s more like his father    But he must have inherited you dumbness or why would he bother?      He wasted his years with one request--   Only your love nothing more nothing less.   I’ve have love here in large supply   But he would never meet my eye.      He was too busy thinking no one cares   To notice my admiring stares.   Now I await your broken son   To claim the heart that he’s already  won.
20090128181809AAQe63V	Arts & Humanities;Other - Arts & Humanities	If you were in a public affiars class and was given the year long task of fixing something in your community..?	what would you choose?
20090128181938AASoZhA	Arts & Humanities;Philosophy	How did Neo perceive things in the real world?	If the matrix was fake, just images the brain made up, how did Neo perceive things in the real world.
20090128182144AAPN2yP	Arts & Humanities;Philosophy	Is ethics the same as wisdom?	Wikipedia has about ethics: "A central aspect of ethics is 'the good life', the life worth living or that is simply satisfying, which is held by many philosophers to be more important than moral conduct." This almost sounds like wisdom if we make the goal of wisdom the best possible way to live.
