20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090128085650AANZahO	Health;Other - Health	Can sex shorten your life?	N/A
20090128085812AAVtZme	Health;General Health Care;Injuries	A door was slammed into my temple today. serious?	yeah, my friend accidentally slammed a door into the side of my head [my temple] this morning and it still hurts. i have a massive headache and its kinda tender to touch and obviously, whenever it's touched or whenever i yawn, it's really painful.   is that kind of thing serious? or should i just forget about it and ignore the pain until it stops?   and oh yeah. can i take paracetamol [painkillers] or is that a bad idea?
20090128085823AA2WdMX	Health;Other - Health	I go Bright red when I am embarrassed or after I have done sport, how can i stop?	Always at school - I go bright red. I have a name (Beetroot) and in my french school (rougir) (to go red). I know its part of me but I want to see if there is a way of stoping it in the first place. I have had it for as long as i can remember. Help please!!!!!!!!
20090128085908AATAgFG	Health;Women's Health	Can I delay my period more than a month, or alter when it comes?	I have my vacation coming up in 2 weeks and I'm supposed to get my period. I already spoke to my family doctor and she explained how I can delay my period for a month safely using my birth-control pills. (This is done by not taking the "reminder pills" and going straight into the next batch of hormone pills) However, after my 2nd batch of pills I'm supposed to get my period on the weekend of my 1 yr anniversary with my boyfriend.      My question is:   Can I not take the full second dose of birth-control and take the "reminder pills" to get my period a week or 2 late  -or-  Can I delay my period for 2 months safely?      Thanks everyone
20090128085942AABOP1g	Health;Other - Health	I need some lice help?	im a bit of a hyprocodracte and im not sure if i have head lice or dandruf. if had an itchy scalp for about 4 days now and there little white specks in my hair. i have had small amounts of dandruff before and it looks like what i have but this time i have alot more and my head is even itchier. the white specks come out really really easy and i can shake my hair and see them come out but it has me worried that my head itches the most around my neck and ears. also i have been having really dry skin lately and right now my face is really dry, like my forhead. so im pretty sure its dandruff, but im still freakin out. i work at a daycare so i also freak out about this stuff. also after i wash my hair there no white specks but they soon return like an hour after i wash it. and they are are basically everywhere.
20090128090021AAScFyw	Health;Diseases & Conditions;Skin Conditions	Help! Using Duac and Retin-a Micro is burning my skin!?	My dermatologist put me on Duac in the morning and Retin-a Micro at night and for the first few days it was working pretty well but now when I wash the Retin-a or Duac off my face my skin gets really dry and starts peeling and when I try to put face lotion on to help with the dryness, my face starts to burn and now its red and feels like it burned in some parts. I dont know what to do to stop this?
20090128090028AAQaUwA	Health;General Health Care;Pain & Pain Management	I have a rash on the left side of my back. I have stomach pain as well?	I've had the rash for about 2-3 days. It's pretty small but it's really itchy and sore. I haven't been running a fever. My stomach is upset but it's flu season so it could be anything. My mom has a doctor apt. scheduled for tomorrow.
20090128090038AAaWAsM	Health;Women's Health	What is safe use of laxatives?	A relative takes laxatives about once a month, at twice the amount recommended. They are herbal, of the brand Senokot, in which the active ingredient is senna - is it safe to take at that dosage and that interval?      I'm concerned about it becoming too regular and their body adjusting itself to the dosis. Is that possible?
20090128090117AAguaVQ	Health;Women's Health	Is there a device that helps protectint thin hymen from tearing during some activytie?	N/A
20090128090127AApJDLa	Health;Diseases & Conditions;Other - Diseases	Does the weather seems to bother people with Lupus?	When the weather changes I hurt more than normal.
20090128090309AAwiL71	Health;Diseases & Conditions;Skin Conditions	Remedy for dry, itchy winter hands?	I have tried several over the counter lotions that claim to be the best for this but none work. anyone know of a product or home remedy that works?
20090128090411AAubVWt	Health;General Health Care;Injuries	Can we make our mind sharp ?	how to make our mind sharp n alert throught  a day ?
20090128090618AABtOAq	Health;Women's Health	Personal question ! Really worried?	Right, this is very personal and stupid questions will be reported and deleted. I am 13 and haven't started my period yet. People have been making fun of people who have hairy ******. I don't shave or anything and mine is hairy, should I? Because the people that make fun of them seem to? I'm getting quite worried :( What if I'm getting changed for P.E for example swimming and they see. I don't want to get picked on :( Please help and please please don't take the piss.
20090128091358AAQdpYB	Health;Diseases & Conditions;Other - Diseases	What is sirous of the liver?	N/A
20090128091409AATPN0T	Health;Women's Health	My pee pee burns. What should I do?	N/A
20090128091428AAvrdZ1	Health;Alternative Medicine	How to get rid of kidney stones?	does anybody know how to get rid of them, like home remedies or roots?
20090128091538AAhi5Zx	Health;Diseases & Conditions;Skin Conditions	What is a quick way to get rid of cold sores?	I have prom in 4 days and I have 4 cold sores at once! Help please!!!
20090128091742AAqnXee	Health;General Health Care;Injuries	I think i have boxer's fracture.?	Yesterday ,me and my freind were wresleing, and playin around, and i acidentaly hit him in the head with my fist straight out, sorry bout the typing im using 1 hand. but anyways, it was swelled up and still the same way, it's not bruised much but hurts when i touch it and i can move it down to make a fist but can't move it up with out me pulling it up with my other hand, it feels really tigh,i reaserched it online,ps. it is the right pinky knuckle.
