20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090227090702AAqjtaI	Society & Culture;Mythology & Folklore	WHERE DO I START IN WITCHCRAFT?	Im ready to change my lifestyle to witchcraft. I need information from people who actually practice witchcraft. Im willing to learn and accept new things.
20090227090806AAESLok	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Want a 1/2 Vietnamese 1/2 American child- who will it look like?	I am thinking about motherhood, and would want my child to look like my partner- who is 1/2 Vietnamese (mother) 1/2 American ( father).  I'm worried that by being a caucasian mother myself, even with a Vietnamese donor, the child will look more like me and not have any Asian characteristics (nose, eyes, skin color).  Does anyone have any experience/ expertise, suggestions in this?
20090227091118AApO17G	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	My gf will be out of town for 3 weeks. What do you guys do to stay busy?	shes going to seattle which is basically across the country to help a friend with some work he has.
20090227091623AArjkRY	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How to make out (snog)?	Lately my friend just stared making out with her bf...and now she wants me to do it. but i don't know how to make out...here's a few questions i want to ask.....+ I've never been confident about my teeth so i need to know What should i do...:) Thanks      *Do you use tongue   *If you do you use tongue  do    *How do you approach the person   *How to stop snogging the person      I want my first snog to be good :)      Also a friend of mine said they use tongue An they lak just Put it in their bf's mouth??      Thanks soo much!!!!!!!!!!!!!!!!!!       XxXAlmiraXxX
20090227091752AAaV9Mn	Society & Culture;Etiquette	What should I write on a card to express my gratitude to someone?	My lawyer helped me out with a serious matter in a court case that has now been solved. I know I paid the guy, and that should alone gratitude, but I want to express it in words yet I don'tknow exactly what to say on a thank you card. Does anyone have any ideas or examples on what I should write? Thanx.
20090307131242AA1FgKH	Society & Culture;Religion & Spirituality	Why does Shiva hold the deer and fire? Pleeeeeeeease! :)?	My teacher says he does... but why? what are some stories? please!  Because I know one story about why he holds the deer but why does he hold the fire? I have a test today!! pleeeeeease! in like 1 hour! All I know is that Rishis of Darukavana were angry because Shiva’s divine beauty had attracted their wives. They tried to kill him through rituals. Out of the fire were a tiger, deer and red-hot iron. Shiva killed the tiger and wore it. He took the deer and put it in his left hand. He made the iron one of his weapons. Pleeeeeeeeeeease
20090307165028AA5Ad3E	Society & Culture;Religion & Spirituality	Do accidents happen for reason?	N/A
20090307164953AAhxrJS	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT: Is there any gay/bi chat rooms or forums that talk about life rather than just sex?	can you reccomend one? for people in their 20's?
20090307161525AAeZGS6	Society & Culture;Other - Society & Culture	Why do YOU hate Twilight?	I hate it because it is gay and 99% of the people who have read the books have never read anything else
20090307165400AAeJi8a	Society & Culture;Religion & Spirituality	Question for moderate Christians and moderate Muslims?	Do you have a problem with the term "moderate" ?       If somebody called me a moderate atheist, it wouldn't say much good about my 'group'.      I mean, the use of the word moderate basically implies that the standard version of your religion is not so moderate. It implies the religion is bad or evil, and it implies you somehow managed to stay away from that part of your religion, because you're a moderate.       I know it's just semantics, and it's not an important issue. Was just curious if the term moderate bothered you.
20090307161248AAhtpak	Society & Culture;Languages	How to translate SHE ALWAYS TOLD ME ABOUT HER MOTHER in french and spanish?	in french, is this verb used in the passe compose or imparfait. can it be both   ELLE M'A TOUJOURS PARLE DE SA MERE   and ELLE ME TOUJOURS PARLAIS DE SA MERE
20090307164559AA50Vtu	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Domestic Partnership VS. Marriage Statewide?	If you watched the California Supreme Court Hearing on Prop 8: You would have heard the judges listed a possible remedy to this situation by declaring "getting out of the marriage business" and instead transferring all marriages and future marriages into Domestic Partnerships!      Fact:   Certain states do not recognize domestic partnership regardless of the sex of the parties involved! However, all states across the board recognize marriage between a man and woman regardless of where the state the marriage was performed in!      So if California “got out of the marriage business” and transferred all previous marriages and future marriages into domestic partnerships, would those domestic partnerships be recognized in other states? Meaning if you had a marriage/ now domestic partnership in CA, then moved to Nevada would your domestic partnership be recognized or would you have to get married there?      (For the question: I’m only talking about a domestic partnership between a man and women)      Link to California Supreme Court Prop 8 hearing:    http://www.calchannel.com/ 
