20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090220100911AAvK3Np	Society & Culture;Religion & Spirituality	Do you see Sexual Freedom a *Right* or Immorality at it's worst?	That the Bible Speaks of...   If you dismiss what the Bible speaks of as Sexual Morality you just have to read the Song of Songs in the Bible to see GOD gave the pleasure of sex between a Man and a Woman to enjoy and, love one another in a commited relationship that brings fourth generations of families to inhabit the world he gave us.   .   Sexual Freedom without the Biblical Definition brings what in your opinion? and how does it enhance a society?      CURRENT TRENDS IN SEXUAL FREEDOM.   The UK and Netherlands.   Sex education initiatives are failing to control the spiralling teenage pregnancy crisis.   Learning Dutch lessons on pregnancy rate    Telegraph TV: Comment on teenage pregnancies    Every year, almost 50,000 girls and growing under 18 fall pregnant, leading critics to claim that government-led efforts to encourage safer sex are backfiring. The number who conceive is at its highest level since a multi-million-pound teenage pregnancy crackdown almost a decade ago.   As a result, Britain tops the league table of teenage mothers in western Europe, despite also having a record number of school-age abortions.    SEXUAL TRAFFICKING AT ALL TIME HIGH..   Washington, D.C.—Concerned Women for America (CWA)   is saddened by a United Nations report that says human   trafficking has tied illegal arms dealing as the world’s   second largest and fastest-growing criminal enterprise,   behind only illicit drug trading.    More evidence that homosexuality is a public health hazard   SAN FRANCISCO — A new variety of staph bacteria, highly resistant to antibiotics and possibly transmitted by sexual contact, is spreading among gay men in San Francisco, Boston, New York and Los Angeles, What is unusual in this case is the high percentage of infections - up to 40 percent - occurring in the buttocks and genitalia. – San Francisco Chronicle story on new staph bacteria spreading among homosexual men   In addition we have Child Sexual predators as an all time high   All time high for Teachers engaging in sexual relations with there students   School aged girls with a all time high of the HPV Virus..      How is secular sexual freedom good for a society?
20090220103024AA7bEWB	Society & Culture;Religion & Spirituality	Do you think the Lake of Fire is Hell? and Atheists a question?	the Bible it speaks of both places, Hell being the grave the Lake of Fire for Satan and everyone who followed his ways instead of repentance to the Lord.   Since GOD will judge everyone who has been on this earth and Jesus overcame the grave (Hell)  the choice of the New earth and the Lake of Fire will be  *Real* for all...   My question to atheists, if you end up in the Lake of Fire eternal torment you cannot escape from, does that concern you? or do you think you are going to be able to handle the daily eternal torment in the Lake of Fire?
20090220102606AAThYZR	Society & Culture;Religion & Spirituality	Change you can believe in!?	do you believe Obama will truly change anything?   How about morality in America? can he?   How about economic situation?   Is this in his power to control?   Or has Obam bin lyin?
20090220101959AAA2YE8	Society & Culture;Religion & Spirituality	Why are so many christians converting to wicca/paganism?	I have met so many people who practice wicca and paganism now who used to be christians.  I also have talked to many christians who are considering becoming wicca and pagans.  So what is going on?  why all of this converting and what is it about wicca/paganism that is attracting so many christians?
20090220100037AAwrIzk	Society & Culture;Other - Society & Culture	How do you like your country's health care system?	What are some of the basic aspects of it (universal coverage, focus on preventative, etc)?
20060911115742AAQIl1c	Society & Culture;Other - Society & Culture	Is the creative nature of people in our culture increasing , decreasing, or staying the same ?	Is the creative nature of people in our culture increasing , decreasing, or staying the same ?  What do you think are the causes of our current condition?
20090220101734AAP7YJ8	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why do I constantly think about others, Sexually?	I am in a relationship and have been for years, we have 4 kids and alot of stress. My calm place has always been having day dreams about being with other people, sexually. I can't ever seem to make it stop and over the years its gottin to the point where I feel like I'm wanting to act on them. I have talked to my partner about this and really all I want is the closeness with each other but it NEVER seems to happen, and if it does once in a blue moon that should be enough for me until the next time the mood strikes. I have tried everything and am just getting more and more unhappy and the day dreams about other people come into my head more and more. I really don't know what to do. because after years of trying to talk, and talk, act, and plan things to be a little different they always come right back to this place. I am so tired. Any advice would be helpful
20060712071353AA6tdyP	Society & Culture;Other - Society & Culture	Anyone else having a crappy day?	It seems like everyone wants to be mean and yell.  And it's only 10 am.  Anyone else getting b*tched at for no good reason today?
20060809113923AA2SlwF	Society & Culture;Other - Society & Culture	Are you being lied to?	Do you do research to learn the facts for yourself or do you walk around blindly accepting other peoples truths without finding your own?
20090220102659AAnFS6a	Society & Culture;Religion & Spirituality	Is mary gods mother?????????	if you believe jesus is god and mary is jesus mother, then that makes mary the mother of god    and what would you say if someone treated your mother with disrespect?   and why was mary able to tell jesus we need a miracle and we need it right now,  and jesus turned the water into wine
20090220101401AAQ6pBu	Society & Culture;Religion & Spirituality	Theists, what are the things you generally shy away from, besides evolution?	N/A
20090220095349AASK5jg	Society & Culture;Religion & Spirituality	Atheists: What are you giving up for Lint?	N/A
20090220095059AA8K0Cs	Society & Culture;Other - Society & Culture	Do you laugh when driving and see a bicycler man wearing those speedos?	I  almost had a wreck because he had these red bulbs flashing off his butt(it was dusk dark)so i guess the flashers were for protection from getting run over,why did he have them on his butt up in the air and not attached to the bike?
20090220101141AAL0DQq	Society & Culture;Other - Society & Culture	Why don't you men like cats?	I've only met a few who truly did,some just tollerated them because i had one,now my husband won't let me have one and he's   in the norm where men are concerned,he lied and says he's allergic and it'll make his face swell up,but he has his dog and his other reason is that the dog will murder the cat in front of me,i love the dog and he can have it.
20090220095855AAEj8ZY	Society & Culture;Religion & Spirituality	How can we walk in Christ's footsteps today?	'Whoever would follow Jesus Christ, must walk in His footsteps, if he would not go astray.'      St. Teresa of Jesus
20090220101843AApmEvg	Society & Culture;Religion & Spirituality	What are the differences in the beliefs of the Jehovah Witness's and the Later Day Saints?	I understand they are the only denominations of Christians who believe Christ is the sun of God bot not actually the God.
20090220100608AAvZHxQ	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Really boreddd and hungryy?	i'm really hungry rite now and don't know what to eat and i was bored so i asked this question hahaaaa XD
20090220102448AAZ1mDr	Society & Culture;Religion & Spirituality	Where can one have freedom of speech on religion?	My URL has been barred, here in the religion section for trying to tell    biblical truths. It appears the Christians have barred my freedom of speech, and all I am talking about at my URL, is about the bible and its   translation.
