20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20061119201715AAONf8Q	Society & Culture;Other - Society & Culture	Ambidextrous?  What are the probability?	My father  was very left handed.  My mother is extremely right handed.  I have always used both.  My brother is right handed.  I can eat, write, sew, I knit left handed and crochet right, Right handed people carry things in their right arm predominately, I carry in my left arm.  Watch feels weird on my left so has always been on right.  I build things left handed and catch baseballs left too.  I hit either.  Any idea what the odds are that I was born this way?
20061205025824AArcXU3	Society & Culture;Religion & Spirituality	Jesus, anges et tous les saints, blancs, mai le diable noir ?	Ne pensez-vous pas que l'homme noir devrait se poser la question de savoir si le diable n'était pas son géniteur ? En plus tout ce qui est bien, c'est pour l'homme blanc, le mauvais toujours pour l'homme noir . Les richesses pour le blanc, la misère pour le noir, qu'en est-il ?
20070117095247AA5wMni	Society & Culture;Other - Society & Culture	Como esta el clima actual en el lugar donde estas?	aki estabamos a -5°C, pero ahorita ya estamos a 5°C.   teeenggoooo frrriiiiooooo!!
20070117115615AAImyOR	Society & Culture;Languages	Quien puede ayudarme a hablar mas brasile?o plix?	me pueden ayudar a hablar brasile?o plix   mi mail es el.diiego@hotmai.com   se les agradece chau
20070130171724AAX1OQr	Society & Culture;Languages	How do you say?	how do you say lifes tuff in spanish and also how do say NO REGRETS.?
20070203041153AA9sapw	Society & Culture;Languages	Can someone please translate this in english?	Você é uma pessoa especial.    Deixo este depoimento aqui para expressar minha amizade, com uma mensagem linda que serve como li??o de vida para qualquer pessoa.
20070214114907AACWMEb	Society & Culture;Religion & Spirituality	Would like to know about naqshbandi sufi masters/hindu sufi masters . names,and their samadhi's, presentmaster	pl let me know their lineage, present masters/hindu sufi masters,their photos, books(english) giving details on them.anyone in chennai?any one who is giving me informations ,pl let me have ur email /phone contacts for further clarifications.
20070215092218AA4fqhp	Society & Culture;Mythology & Folklore	Twice cooked in old roman times?	7 letters
20070301155712AAclbBc	Society & Culture;Other - Society & Culture	What is a tango boy?	Someone asked me if a friend of mine had "always been such a tango boy" and I wondered what this meant?
20070319163728AAiXV2K	Society & Culture;Other - Society & Culture	What's your fantasy?	N/A
20070326102021AAkddEj	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Ma perchè gli omosessuali...?	sono di solito associati ai francesi?       prendiamo per es. questo video (un esempio a caso che ho trovato) su un arbitro omosessuale (almeno apparentemente)       http://www.youtube.com/watch?v=i-3cuCEt9...       e prendiamo ad es. questo commento di un visitatore del video:       " smellmynutz   (5 days ago)   is this 4real?hahhah... is he french??"      qualcuno saprebbe darmi una risposta? ripeto che questo è solo un esempio, sta di fatto che (almeno nella mia zona) quando si pensa ai francesi si pensa anche agli omosessuali....
20070509055949AARewQZ	Society & Culture;Other - Society & Culture	Qui su ANSWERS....................?	quanti provoloni e provoline ci sono   ke dando delle risposte ci provano   a suscitare la vostra curiosità?      fuori i nomi di ki avete individuato.............      io mi ritengo una provolina incallita   e nn mi pento      e voi?
20070510150635AALeUBB	Society & Culture;Other - Society & Culture	Domanda.....................?	Answers sempre + deludente   mi kiedo cosa mi spinge a stare ankora qua   Boh............penso ke ormai sono stanca di sopportare tutte le accuse ke mi vengono mosse...........mi dispiace tanto ma nn starò ankora x molto qua con voi........      detto questo vi auguro una felice e serena notte   un grande bacio e un' abbraccio pieno di affetto Dana
20070331161218AA6CwJn	Society & Culture;Other - Society & Culture	Vediamo ki manca ...............?	all' appello?   contiamo le presenze   ki nn c' è metto nota sul registro .....
20070403161558AALf74Q	Society & Culture;Other - Society & Culture	C' è qualcuno........?	Sono la molecola di Dana volevo sapere ki manca all' appello stasera?   sapete già ke ki manca avra la solita nota sul registro?
20070405154950AA7ecM9	Society & Culture;Other - Society & Culture	A grande rikiesta torna...................?	l' appello allora ormai i miei amici sanno ke ki è assente avrà la nota sul registro e ki nn ha la giustificazione abbastanza credibile nn entrera in classe so ke vi do un grande dolore ma purtroppo oggi sono severa ok      dopo di ciò vi auguro una dolcissima notte    e come sempre spero ke la felicità raggiunga i vostri cuori   un fortissimo abbraccio Danuccia
20070411152846AAmKkWx	Society & Culture;Other - Society & Culture	Buona notte Answers.............?	un'altro giorno e passato bello brutto ma e andato via   be il mio come alcuni sapranno nn e ke sia stato il massimo ma credo ke ci sia di peggio   colgo l' occasione x augurarvi una felice notte a tutti anke xkè se continua cosi nn e ke ne avro di altre x farlo   visto ke già domani forse nn mi troverete ma sapete ke mi mankerete   colgo l' occasione di ringraziarvi tutti      un grosso abbraccio la vostra amica Dana
20070421070926AA3tbft	Society & Culture;Other - Society & Culture	Curiosità.....................…	ma lo saike hai 1 bella faccia tosta?   questo mi è stata detta poco fa........e inutile dirvi ke gli ho riso in faccia ............lo so nn è molto educato, ma se aveste visto con ke slancio mi è stato detto nn credo ke inmolti nn lo avessero fatto............   credete ke sia vero?   a voi in quale occasione vi è stata detta una frase del genere?      buon pomeriggio Dana
20070522150609AAQHhBR	Society & Culture;Holidays;Other - Holidays	My birthday?	my birthday is tommorow i'm 12 what should i get i want a game i have xbox and a ds lite
20070402183539AAMfqpB	Society & Culture;Religion & Spirituality	To believe a Psychic or not...that is the question...?	I recently had a psychic reading over the phone, and she was eerily correct on certain things.  One thing she told me was that I was going to be having a baby this year.  She was very adamant about it.  Some of the things she said have been correct, others weren't for whatever reason, so I'm not sure whether I should put alot of stock in what she says.       If you were me, would you actively try having a baby by what the psychic told you, or continue safe sex, and see if it happens?  Would you be torn if you'd decided to NOT have any more kids, than was told this?  My husband had decided to get the surgery needed to not have any more kids, but now I'm doubting whether he should.        What are you thoughts??  Thanks in advance, just looking for other points of view :)
20070425163931AAx8ySf	Society & Culture;Etiquette	Come si riconosce un cinese da un giapponese?	Sò che se un giapponese lo si chiama cinese e un giapponese lo si chiama cinese si arrabiano per questioni storiche e di società, quindi come si fà a distinguerli senza che quando sbagli a chiamarli in un modo o nel altro ti arriva una mossa di karate sul naso?
